title,url,channel,domain,watched,extracted,notes,description
الدحيح - سوبر هيروز,https://www.youtube.com/watch?v=_IsVy72DE58,aj_kabrit,,,,,
الدحيح - خرافة التقدم والتأخر,https://www.youtube.com/watch?v=c4rEhRpsbYk,aj_kabrit,,,,,
الدحيح - حتموت من الضحك,https://www.youtube.com/watch?v=qFIO6jXHdyU,aj_kabrit,,,,,
الدحيح - تجربة ماري,https://www.youtube.com/watch?v=9lewKY1q79k,aj_kabrit,,,,,
الدحيح - الحب على النت,https://www.youtube.com/watch?v=ltUQ3zTv2k8,aj_kabrit,,,,,
الدحيح - أذكى جيناتك,https://www.youtube.com/watch?v=rkk4jlJlGwM,aj_kabrit,,,,,
الدحيح - شغلانات مالهاش لازمة,https://www.youtube.com/watch?v=DtNWs9N16c8,aj_kabrit,,,,,
الدحيح - التعويذة الخوارزمية,https://www.youtube.com/watch?v=ZFjfK8piBbQ,aj_kabrit,,,,,
الدحيح - إنجاب الأحباب,https://www.youtube.com/watch?v=iyCn7gpeqEI,aj_kabrit,,,,,
الدحيح - نقتل نص الكوكب,https://www.youtube.com/watch?v=mo-VkD60ZsA,aj_kabrit,,,,,
الدحيح - تيكي تاكا,https://www.youtube.com/watch?v=YbT9vjp8OYk,aj_kabrit,,,,,
الدحيح - كيف بدأ الكلب؟,https://www.youtube.com/watch?v=52wamXVvJW4,aj_kabrit,,,,,
الدحيح - آه لو لعبت يا زهر,https://www.youtube.com/watch?v=CCu3Nqn0pRc,aj_kabrit,,,,,
الدحيح - التنمية الاقتصادية,https://www.youtube.com/watch?v=uHVyKKHXLZQ,aj_kabrit,,,,,""""" : Homo Deus: A Brief History of Tomorrow Predictably Irrational by Dan Ariely World Happiness Report 2018 BBC: How many Earths do we need?"
الدحيح - تجارة الأفكار,https://www.youtube.com/watch?v=4iBGr1G34OI,aj_kabrit,,,,,
الدحيح - جماعة الإخوان الفيثاغورثيين,https://www.youtube.com/watch?v=vpc7v3fDiTk,aj_kabrit,,,,,
الدحيح - أغنية بص بصة على المصادر,https://www.youtube.com/watch?v=0jMBuO09h58,aj_kabrit,,,,,
الدحيح - يا سلام يا سلام يا سلام يا سلام,https://www.youtube.com/watch?v=DnERaC0ySEY,aj_kabrit,,,,,
الدحيح - في مدح الكسل,https://www.youtube.com/watch?v=aKFxh-IeJog,aj_kabrit,,,,,
الدحيح - معضلة المساجين,https://www.youtube.com/watch?v=oZxJNBfHAr8,aj_kabrit,,,,,
الدحيح - أين ذهب الكرش؟,https://www.youtube.com/watch?v=SdEe4t_HH7w,aj_kabrit,,,,,
الدحيح - ستارت أب,https://www.youtube.com/watch?v=xs5eG7C4WKk,aj_kabrit,,,,,
الدحيح - المارشملو,https://www.youtube.com/watch?v=4fPI6hUgeJo,aj_kabrit,,,,,
الدحيح - الكون,https://www.youtube.com/watch?v=yED_4fUd8Ig,aj_kabrit,,,,,""""" : Brief History of Nearly Everything by Bill Bryson Lonely Hearts of the Cosmos"
الدحيح - البطالة,https://www.youtube.com/watch?v=m9c-keUEViA,aj_kabrit,,,,,
